design_id,competition_id,polarity,tag,statement_count,present,polarity_statement_total,statement_share
A1,A,negative,acoustics,1,1,5,0.2
A1,A,negative,circulation,2,1,5,0.4
A1,A,negative,fire safety,2,1,5,0.4
A1,A,negative,flexibility,1,1,5,0.2
A1,A,negative,functionality,2,1,5,0.4
A1,A,negative,landscape,1,1,5,0.2
A1,A,negative,layout,1,1,5,0.2
A1,A,negative,open space,1,1,5,0.2
A1,A,negative,privacy,1,1,5,0.2
A1,A,positive,circulation,1,1,8,0.125
A1,A,positive,cost,1,1,8,0.125
A1,A,positive,daylight,1,1,8,0.125
A1,A,positive,flexibility,2,1,8,0.25
A1,A,positive,functionality,3,1,8,0.375
A1,A,positive,identity,2,1,8,0.25
A1,A,positive,layout,3,1,8,0.375
A1,A,positive,massing,2,1,8,0.25
A1,A,positive,proportion,1,1,8,0.125
A1,A,positive,scale,1,1,8,0.125
A1,A,positive,sustainability,1,1,8,0.125
A1,A,positive,urban integration,1,1,8,0.125
A2,A,negative,accessibility,1,1,8,0.125
A2,A,negative,circulation,1,1,8,0.125
A2,A,negative,facade,1,1,8,0.125
A2,A,negative,flexibility,1,1,8,0.125
A2,A,negative,functionality,3,1,8,0.375
A2,A,negative,layout,2,1,8,0.25
A2,A,negative,massing,2,1,8,0.25
A2,A,negative,open space,1,1,8,0.125
A2,A,negative,scale,1,1,8,0.125
A2,A,negative,structure,1,1,8,0.125
A2,A,negative,urban integration,2,1,8,0.25
A2,A,positive,circulation,1,1,6,0.16666666666666666
A2,A,positive,fire safety,1,1,6,0.16666666666666666
A2,A,positive,flexibility,1,1,6,0.16666666666666666
A2,A,positive,functionality,2,1,6,0.3333333333333333
A2,A,positive,landscape,1,1,6,0.16666666666666666
A2,A,positive,layout,2,1,6,0.3333333333333333
A2,A,positive,massing,1,1,6,0.16666666666666666
A2,A,positive,open space,1,1,6,0.16666666666666666
A2,A,positive,operation,1,1,6,0.16666666666666666
A2,A,positive,structure,1,1,6,0.16666666666666666
A2,A,positive,topography,1,1,6,0.16666666666666666
A3,A,negative,accessibility,1,1,13,0.07692307692307693
A3,A,negative,cost,1,1,13,0.07692307692307693
A3,A,negative,daylight,2,1,13,0.15384615384615385
A3,A,negative,expression,1,1,13,0.07692307692307693
A3,A,negative,facade,1,1,13,0.07692307692307693
A3,A,negative,fire safety,1,1,13,0.07692307692307693
A3,A,negative,functionality,5,1,13,0.38461538461538464
A3,A,negative,layout,1,1,13,0.07692307692307693
A3,A,negative,scale,1,1,13,0.07692307692307693
A3,A,negative,sustainability,1,1,13,0.07692307692307693
A3,A,negative,ventilation,1,1,13,0.07692307692307693
A3,A,positive,accessibility,1,1,9,0.1111111111111111
A3,A,positive,circulation,1,1,9,0.1111111111111111
A3,A,positive,daylight,2,1,9,0.2222222222222222
A3,A,positive,flexibility,1,1,9,0.1111111111111111
A3,A,positive,functionality,1,1,9,0.1111111111111111
A3,A,positive,identity,1,1,9,0.1111111111111111
A3,A,positive,layout,2,1,9,0.2222222222222222
A3,A,positive,open space,1,1,9,0.1111111111111111
A3,A,positive,urban integration,1,1,9,0.1111111111111111
A3,A,positive,visibility,1,1,9,0.1111111111111111
A4,A,negative,circulation,1,1,6,0.16666666666666666
A4,A,negative,functionality,1,1,6,0.16666666666666666
A4,A,negative,identity,3,1,6,0.5
A4,A,negative,layout,1,1,6,0.16666666666666666
A4,A,negative,urban integration,1,1,6,0.16666666666666666
A4,A,positive,circulation,1,1,11,0.09090909090909091
A4,A,positive,cost,1,1,11,0.09090909090909091
A4,A,positive,daylight,1,1,11,0.09090909090909091
A4,A,positive,flexibility,1,1,11,0.09090909090909091
A4,A,positive,landscape,1,1,11,0.09090909090909091
A4,A,positive,open space,1,1,11,0.09090909090909091
A4,A,positive,structure,1,1,11,0.09090909090909091
A4,A,positive,topography,1,1,11,0.09090909090909091
A4,A,positive,urban integration,3,1,11,0.2727272727272727
A5,A,negative,daylight,1,1,10,0.1
A5,A,negative,facade,1,1,10,0.1
A5,A,negative,landscape,2,1,10,0.2
A5,A,negative,layout,1,1,10,0.1
A5,A,negative,massing,1,1,10,0.1
A5,A,negative,open space,1,1,10,0.1
A5,A,negative,scale,1,1,10,0.1
A5,A,negative,structure,1,1,10,0.1
A5,A,negative,topography,1,1,10,0.1
A5,A,negative,urban integration,1,1,10,0.1
A5,A,positive,daylight,1,1,6,0.16666666666666666
A5,A,positive,flexibility,1,1,6,0.16666666666666666
A5,A,positive,functionality,1,1,6,0.16666666666666666
A5,A,positive,layout,2,1,6,0.3333333333333333
A5,A,positive,massing,1,1,6,0.16666666666666666
A5,A,positive,open space,1,1,6,0.16666666666666666
A6,A,negative,accessibility,1,1,11,0.09090909090909091
A6,A,negative,circulation,1,1,11,0.09090909090909091
A6,A,negative,cost,2,1,11,0.18181818181818182
A6,A,negative,daylight,1,1,11,0.09090909090909091
A6,A,negative,facade,1,1,11,0.09090909090909091
A6,A,negative,fire safety,1,1,11,0.09090909090909091
A6,A,negative,flexibility,2,1,11,0.18181818181818182
A6,A,negative,functionality,1,1,11,0.09090909090909091
A6,A,negative,layout,1,1,11,0.09090909090909091
A6,A,negative,open space,1,1,11,0.09090909090909091
A6,A,negative,sustainability,1,1,11,0.09090909090909091
A6,A,negative,urban integration,1,1,11,0.09090909090909091
A6,A,positive,facade,1,1,5,0.2
A6,A,positive,landscape,1,1,5,0.2
A6,A,positive,layout,1,1,5,0.2
A6,A,positive,urban integration,2,1,5,0.4
A7,A,negative,circulation,1,1,8,0.125
A7,A,negative,daylight,1,1,8,0.125
A7,A,negative,flexibility,1,1,8,0.125
A7,A,negative,layout,2,1,8,0.25
A7,A,negative,massing,1,1,8,0.125
A7,A,negative,structure,1,1,8,0.125
A7,A,negative,topography,1,1,8,0.125
A7,A,positive,circulation,2,1,8,0.25
A7,A,positive,daylight,1,1,8,0.125
A7,A,positive,functionality,1,1,8,0.125
A7,A,positive,layout,2,1,8,0.25
A7,A,positive,proportion,1,1,8,0.125
A7,A,positive,structure,1,1,8,0.125
A7,A,positive,urban integration,1,1,8,0.125
A7,A,positive,visibility,1,1,8,0.125
AA1,AA,negative,accessibility,1,1,6,0.16666666666666666
AA1,AA,negative,functionality,1,1,6,0.16666666666666666
AA1,AA,negative,layout,1,1,6,0.16666666666666666
AA1,AA,negative,operation,1,1,6,0.16666666666666666
AA1,AA,negative,structure,1,1,6,0.16666666666666666
AA1,AA,negative,visibility,1,1,6,0.16666666666666666
AA1,AA,positive,circulation,3,1,10,0.3
AA1,AA,positive,cost,1,1,10,0.1
AA1,AA,positive,flexibility,1,1,10,0.1
AA1,AA,positive,identity,1,1,10,0.1
AA1,AA,positive,urban integration,4,1,10,0.4
AA2,AA,negative,daylight,1,1,9,0.1111111111111111
AA2,AA,negative,expression,1,1,9,0.1111111111111111
AA2,AA,negative,facade,1,1,9,0.1111111111111111
AA2,AA,negative,layout,2,1,9,0.2222222222222222
AA2,AA,negative,proportion,1,1,9,0.1111111111111111
AA2,AA,negative,safety,1,1,9,0.1111111111111111
AA2,AA,negative,structure,1,1,9,0.1111111111111111
AA2,AA,negative,urban integration,1,1,9,0.1111111111111111
AA2,AA,positive,accessibility,1,1,10,0.1
AA2,AA,positive,circulation,4,1,10,0.4
AA2,AA,positive,daylight,1,1,10,0.1
AA2,AA,positive,flexibility,1,1,10,0.1
AA2,AA,positive,functionality,1,1,10,0.1
AA2,AA,positive,layout,1,1,10,0.1
AA2,AA,positive,open space,1,1,10,0.1
AA2,AA,positive,structure,1,1,10,0.1
AA2,AA,positive,urban integration,1,1,10,0.1
AA3,AA,negative,circulation,1,1,6,0.16666666666666666
AA3,AA,negative,cost,1,1,6,0.16666666666666666
AA3,AA,negative,daylight,1,1,6,0.16666666666666666
AA3,AA,negative,facade,1,1,6,0.16666666666666666
AA3,AA,negative,functionality,1,1,6,0.16666666666666666
AA3,AA,negative,urban integration,1,1,6,0.16666666666666666
AA3,AA,negative,ventilation,1,1,6,0.16666666666666666
AA3,AA,positive,circulation,1,1,9,0.1111111111111111
AA3,AA,positive,daylight,1,1,9,0.1111111111111111
AA3,AA,positive,facade,1,1,9,0.1111111111111111
AA3,AA,positive,flexibility,1,1,9,0.1111111111111111
AA3,AA,positive,layout,2,1,9,0.2222222222222222
AA3,AA,positive,structure,1,1,9,0.1111111111111111
AA3,AA,positive,urban integration,3,1,9,0.3333333333333333
AA3,AA,positive,ventilation,1,1,9,0.1111111111111111
AA4,AA,negative,circulation,1,1,6,0.16666666666666666
AA4,AA,negative,cost,1,1,6,0.16666666666666666
AA4,AA,negative,expression,1,1,6,0.16666666666666666
AA4,AA,negative,flexibility,1,1,6,0.16666666666666666
AA4,AA,negative,functionality,1,1,6,0.16666666666666666
AA4,AA,negative,structure,1,1,6,0.16666666666666666
AA4,AA,negative,topography,1,1,6,0.16666666666666666
AA4,AA,positive,accessibility,1,1,11,0.09090909090909091
AA4,AA,positive,circulation,1,1,11,0.09090909090909091
AA4,AA,positive,daylight,1,1,11,0.09090909090909091
AA4,AA,positive,expression,1,1,11,0.09090909090909091
AA4,AA,positive,facade,1,1,11,0.09090909090909091
AA4,AA,positive,flexibility,1,1,11,0.09090909090909091
AA4,AA,positive,landscape,1,1,11,0.09090909090909091
AA4,AA,positive,layout,1,1,11,0.09090909090909091
AA4,AA,positive,open space,1,1,11,0.09090909090909091
AA4,AA,positive,proportion,1,1,11,0.09090909090909091
AA4,AA,positive,urban integration,3,1,11,0.2727272727272727
AA5,AA,negative,circulation,1,1,10,0.1
AA5,AA,negative,cost,1,1,10,0.1
AA5,AA,negative,daylight,1,1,10,0.1
AA5,AA,negative,flexibility,1,1,10,0.1
AA5,AA,negative,functionality,3,1,10,0.3
AA5,AA,negative,layout,2,1,10,0.2
AA5,AA,negative,proportion,1,1,10,0.1
AA5,AA,negative,structure,3,1,10,0.3
AA5,AA,negative,topography,1,1,10,0.1
AA5,AA,positive,circulation,2,1,10,0.2
AA5,AA,positive,daylight,1,1,10,0.1
AA5,AA,positive,facade,2,1,10,0.2
AA5,AA,positive,flexibility,1,1,10,0.1
AA5,AA,positive,identity,1,1,10,0.1
AA5,AA,positive,layout,1,1,10,0.1
AA5,AA,positive,urban integration,3,1,10,0.3
AA6,AA,negative,circulation,3,1,11,0.2727272727272727
AA6,AA,negative,cost,3,1,11,0.2727272727272727
AA6,AA,negative,daylight,2,1,11,0.18181818181818182
AA6,AA,negative,expression,2,1,11,0.18181818181818182
AA6,AA,negative,facade,1,1,11,0.09090909090909091
AA6,AA,negative,flexibility,1,1,11,0.09090909090909091
AA6,AA,negative,functionality,4,1,11,0.36363636363636365
AA6,AA,negative,identity,1,1,11,0.09090909090909091
AA6,AA,negative,layout,1,1,11,0.09090909090909091
AA6,AA,negative,massing,1,1,11,0.09090909090909091
AA6,AA,negative,open space,2,1,11,0.18181818181818182
AA6,AA,negative,safety,1,1,11,0.09090909090909091
AA6,AA,negative,structure,1,1,11,0.09090909090909091
AA6,AA,negative,topography,1,1,11,0.09090909090909091
AA6,AA,negative,urban integration,2,1,11,0.18181818181818182
AA6,AA,positive,accessibility,1,1,5,0.2
AA6,AA,positive,circulation,1,1,5,0.2
AA6,AA,positive,expression,1,1,5,0.2
AA6,AA,positive,functionality,2,1,5,0.4
AA6,AA,positive,layout,1,1,5,0.2
AA6,AA,positive,massing,1,1,5,0.2
AA6,AA,positive,open space,1,1,5,0.2
AA6,AA,positive,scale,1,1,5,0.2
AA6,AA,positive,urban integration,2,1,5,0.4
AA7,AA,negative,circulation,1,1,7,0.14285714285714285
AA7,AA,negative,expression,1,1,7,0.14285714285714285
AA7,AA,negative,functionality,3,1,7,0.42857142857142855
AA7,AA,negative,layout,1,1,7,0.14285714285714285
AA7,AA,negative,massing,2,1,7,0.2857142857142857
AA7,AA,negative,open space,1,1,7,0.14285714285714285
AA7,AA,negative,proportion,1,1,7,0.14285714285714285
AA7,AA,negative,scale,1,1,7,0.14285714285714285
AA7,AA,negative,structure,1,1,7,0.14285714285714285
AA7,AA,negative,topography,2,1,7,0.2857142857142857
AA7,AA,negative,urban integration,4,1,7,0.5714285714285714
AA7,AA,positive,circulation,2,1,6,0.3333333333333333
AA7,AA,positive,expression,1,1,6,0.16666666666666666
AA7,AA,positive,flexibility,1,1,6,0.16666666666666666
AA7,AA,positive,identity,1,1,6,0.16666666666666666
AA7,AA,positive,layout,1,1,6,0.16666666666666666
AA7,AA,positive,massing,1,1,6,0.16666666666666666
AA7,AA,positive,open space,1,1,6,0.16666666666666666
AA7,AA,positive,safety,1,1,6,0.16666666666666666
AA7,AA,positive,scale,1,1,6,0.16666666666666666
AA7,AA,positive,structure,1,1,6,0.16666666666666666
AA7,AA,positive,urban integration,2,1,6,0.3333333333333333
AAA1,AAA,negative,functionality,2,1,6,0.3333333333333333
AAA1,AAA,negative,landscape,1,1,6,0.16666666666666666
AAA1,AAA,negative,layout,2,1,6,0.3333333333333333
AAA1,AAA,negative,massing,1,1,6,0.16666666666666666
AAA1,AAA,negative,open space,1,1,6,0.16666666666666666
AAA1,AAA,negative,proportion,1,1,6,0.16666666666666666
AAA1,AAA,negative,structure,1,1,6,0.16666666666666666
AAA1,AAA,negative,sustainability,2,1,6,0.3333333333333333
AAA1,AAA,negative,urban integration,1,1,6,0.16666666666666666
AAA1,AAA,positive,circulation,1,1,9,0.1111111111111111
AAA1,AAA,positive,cost,1,1,9,0.1111111111111111
AAA1,AAA,positive,functionality,5,1,9,0.5555555555555556
AAA1,AAA,positive,identity,1,1,9,0.1111111111111111
AAA1,AAA,positive,landscape,1,1,9,0.1111111111111111
AAA1,AAA,positive,layout,2,1,9,0.2222222222222222
AAA1,AAA,positive,massing,1,1,9,0.1111111111111111
AAA1,AAA,positive,open space,2,1,9,0.2222222222222222
AAA1,AAA,positive,safety,1,1,9,0.1111111111111111
AAA1,AAA,positive,topography,1,1,9,0.1111111111111111
AAA1,AAA,positive,urban integration,3,1,9,0.3333333333333333
AAA1,AAA,positive,visibility,1,1,9,0.1111111111111111
AAA2,AAA,negative,acoustics,1,1,7,0.14285714285714285
AAA2,AAA,negative,circulation,1,1,7,0.14285714285714285
AAA2,AAA,negative,cost,2,1,7,0.2857142857142857
AAA2,AAA,negative,daylight,1,1,7,0.14285714285714285
AAA2,AAA,negative,expression,1,1,7,0.14285714285714285
AAA2,AAA,negative,facade,1,1,7,0.14285714285714285
AAA2,AAA,negative,functionality,2,1,7,0.2857142857142857
AAA2,AAA,negative,layout,3,1,7,0.42857142857142855
AAA2,AAA,negative,open space,2,1,7,0.2857142857142857
AAA2,AAA,negative,structure,2,1,7,0.2857142857142857
AAA2,AAA,negative,sustainability,1,1,7,0.14285714285714285
AAA2,AAA,positive,accessibility,2,1,6,0.3333333333333333
AAA2,AAA,positive,circulation,1,1,6,0.16666666666666666
AAA2,AAA,positive,flexibility,1,1,6,0.16666666666666666
AAA2,AAA,positive,functionality,2,1,6,0.3333333333333333
AAA2,AAA,positive,identity,1,1,6,0.16666666666666666
AAA2,AAA,positive,layout,3,1,6,0.5
