tag,advantage_evidence,disadvantage_evidence,discordant_evidence,pairwise_advantage_score,ci_low,ci_high,competitions
phasing,23,7,30,0.5333333333333333,-0.09090909090909091,1.0,96
comfort,3,1,4,0.5,0.5,0.5,96
urban integration,577,261,838,0.37708830548926014,0.27680267416564974,0.475880455050177,96
layout,424,210,634,0.33753943217665616,0.20618907781935303,0.46875286172161174,96
flexibility,646,375,1021,0.2654260528893242,0.1743044764682092,0.35771669198116635,96
functionality,526,310,836,0.2583732057416268,0.14543340024848722,0.3714953982492288,96
identity,679,406,1085,0.25161290322580643,0.16315475214516043,0.34054200310238464,96
open space,618,385,1003,0.23230309072781655,0.15727008482787258,0.30899216412445335,96
circulation,548,355,903,0.21373200442967885,0.11034829918708942,0.3132293597841894,96
daylight,654,425,1079,0.21223354958294718,0.11322701407607068,0.3049816176470589,96
expression,682,457,1139,0.19754170324846357,0.11039539350801629,0.28737412858249417,96
cost,597,427,1024,0.166015625,0.06431161498035906,0.2680012858555885,96
operation,538,386,924,0.1645021645021645,0.05535033292978208,0.2741345323623805,96
massing,556,404,960,0.15833333333333333,0.05450469365283765,0.26241618988020743,96
visibility,485,368,853,0.13716295427901523,0.03797186433988329,0.23497780729605394,96
landscape,603,460,1063,0.13452492944496708,0.04853545423023579,0.22235309084894983,96
proportion,531,434,965,0.10051813471502591,0.009900996273329117,0.19438101743429612,96
scale,565,489,1054,0.07210626185958255,-0.03142047366230033,0.17460469792523534,96
privacy,190,166,356,0.06741573033707865,-0.08729047227292594,0.22699386503067484,96
fire safety,151,132,283,0.06713780918727916,-0.09523809523809523,0.22604077482876717,96
facade,603,531,1134,0.06349206349206349,-0.039477333388939856,0.17165478068660922,96
ventilation,124,111,235,0.05531914893617021,-0.1361236802413273,0.26555769373103405,96
topography,336,306,642,0.04672897196261682,-0.08661475134991385,0.17311730596297562,96
accessibility,373,360,733,0.017735334242837655,-0.12019842363969993,0.150285702862626,96
safety,270,264,534,0.011235955056179775,-0.12547605486368743,0.16408248487264035,96
structure,519,518,1037,0.0009643201542912247,-0.10511279272636005,0.10954127176967365,96
sustainability,452,470,922,-0.019522776572668113,-0.13363286512762626,0.09375619337485847,96
acoustics,134,142,276,-0.028985507246376812,-0.2264808362369338,0.1660392535392536,96
regulatory compliance,8,12,20,-0.2,-1.0,1.0,96
orientation,20,39,59,-0.3220338983050847,-0.658562532433835,0.08196721311475409,96
feasibility,2,7,9,-0.5555555555555556,-0.6,-0.5,96
durability,0,0,0,,,,96
materiality,0,0,0,,,,96
