rank_group,polarity,tag,design_count,total_designs,prevalence_pct
Rank 1,positive,accessibility,10,91,10.989010989010989
Rank 1,positive,acoustics,6,91,6.593406593406593
Rank 1,positive,circulation,70,91,76.92307692307692
Rank 1,positive,comfort,0,91,0.0
Rank 1,positive,cost,48,91,52.747252747252745
Rank 1,positive,daylight,47,91,51.64835164835165
Rank 1,positive,durability,0,91,0.0
Rank 1,positive,expression,64,91,70.32967032967034
Rank 1,positive,facade,27,91,29.67032967032967
Rank 1,positive,feasibility,0,91,0.0
Rank 1,positive,fire safety,5,91,5.4945054945054945
Rank 1,positive,flexibility,63,91,69.23076923076923
Rank 1,positive,functionality,81,91,89.01098901098901
Rank 1,positive,identity,59,91,64.83516483516483
Rank 1,positive,landscape,60,91,65.93406593406593
Rank 1,positive,layout,84,91,92.3076923076923
Rank 1,positive,massing,80,91,87.91208791208791
Rank 1,positive,materiality,0,91,0.0
Rank 1,positive,open space,78,91,85.71428571428571
Rank 1,positive,operation,35,91,38.46153846153846
Rank 1,positive,orientation,2,91,2.197802197802198
Rank 1,positive,phasing,1,91,1.098901098901099
Rank 1,positive,privacy,11,91,12.087912087912088
Rank 1,positive,proportion,28,91,30.76923076923077
Rank 1,positive,regulatory compliance,0,91,0.0
Rank 1,positive,safety,11,91,12.087912087912088
Rank 1,positive,scale,37,91,40.65934065934066
Rank 1,positive,structure,46,91,50.54945054945055
Rank 1,positive,sustainability,50,91,54.94505494505494
Rank 1,positive,topography,25,91,27.47252747252747
Rank 1,positive,urban integration,89,91,97.8021978021978
Rank 1,positive,ventilation,10,91,10.989010989010989
Rank 1,positive,visibility,29,91,31.86813186813187
Rank 1,negative,accessibility,27,91,29.67032967032967
Rank 1,negative,acoustics,8,91,8.791208791208792
Rank 1,negative,circulation,55,91,60.43956043956044
Rank 1,negative,comfort,0,91,0.0
Rank 1,negative,cost,25,91,27.47252747252747
Rank 1,negative,daylight,22,91,24.175824175824175
Rank 1,negative,durability,0,91,0.0
Rank 1,negative,expression,38,91,41.75824175824176
Rank 1,negative,facade,34,91,37.362637362637365
Rank 1,negative,feasibility,0,91,0.0
Rank 1,negative,fire safety,10,91,10.989010989010989
Rank 1,negative,flexibility,13,91,14.285714285714286
Rank 1,negative,functionality,57,91,62.637362637362635
Rank 1,negative,identity,13,91,14.285714285714286
Rank 1,negative,landscape,34,91,37.362637362637365
Rank 1,negative,layout,52,91,57.142857142857146
Rank 1,negative,massing,30,91,32.967032967032964
Rank 1,negative,materiality,0,91,0.0
Rank 1,negative,open space,36,91,39.56043956043956
Rank 1,negative,operation,30,91,32.967032967032964
Rank 1,negative,orientation,3,91,3.2967032967032965
Rank 1,negative,phasing,0,91,0.0
Rank 1,negative,privacy,8,91,8.791208791208792
Rank 1,negative,proportion,12,91,13.186813186813186
Rank 1,negative,regulatory compliance,1,91,1.098901098901099
Rank 1,negative,safety,17,91,18.681318681318682
Rank 1,negative,scale,16,91,17.582417582417584
Rank 1,negative,structure,29,91,31.86813186813187
Rank 1,negative,sustainability,39,91,42.857142857142854
Rank 1,negative,topography,11,91,12.087912087912088
Rank 1,negative,urban integration,35,91,38.46153846153846
Rank 1,negative,ventilation,9,91,9.89010989010989
Rank 1,negative,visibility,17,91,18.681318681318682
Rank 2–3,positive,accessibility,22,187,11.764705882352942
Rank 2–3,positive,acoustics,5,187,2.6737967914438503
Rank 2–3,positive,circulation,136,187,72.72727272727273
Rank 2–3,positive,comfort,0,187,0.0
Rank 2–3,positive,cost,60,187,32.0855614973262
Rank 2–3,positive,daylight,86,187,45.98930481283423
Rank 2–3,positive,durability,0,187,0.0
Rank 2–3,positive,expression,115,187,61.49732620320856
Rank 2–3,positive,facade,59,187,31.550802139037433
Rank 2–3,positive,feasibility,0,187,0.0
Rank 2–3,positive,fire safety,7,187,3.7433155080213902
Rank 2–3,positive,flexibility,86,187,45.98930481283423
Rank 2–3,positive,functionality,147,187,78.6096256684492
Rank 2–3,positive,identity,88,187,47.05882352941177
Rank 2–3,positive,landscape,93,187,49.73262032085562
Rank 2–3,positive,layout,174,187,93.04812834224599
Rank 2–3,positive,massing,154,187,82.3529411764706
Rank 2–3,positive,materiality,0,187,0.0
Rank 2–3,positive,open space,142,187,75.93582887700535
Rank 2–3,positive,operation,48,187,25.668449197860962
Rank 2–3,positive,orientation,3,187,1.6042780748663101
Rank 2–3,positive,phasing,1,187,0.5347593582887701
Rank 2–3,positive,privacy,7,187,3.7433155080213902
Rank 2–3,positive,proportion,43,187,22.994652406417114
Rank 2–3,positive,regulatory compliance,0,187,0.0
Rank 2–3,positive,safety,16,187,8.556149732620321
Rank 2–3,positive,scale,57,187,30.481283422459892
Rank 2–3,positive,structure,86,187,45.98930481283423
Rank 2–3,positive,sustainability,65,187,34.75935828877005
Rank 2–3,positive,topography,43,187,22.994652406417114
Rank 2–3,positive,urban integration,162,187,86.63101604278074
Rank 2–3,positive,ventilation,7,187,3.7433155080213902
Rank 2–3,positive,visibility,53,187,28.342245989304814
