tag,polarity,statement_count,design_count,design_prevalence_pct,statement_share_pct,total_designs
layout,positive,1081,519,89.32874354561102,11.8517706391843,581
urban integration,positive,983,503,86.5748709122203,10.777327047472864,581
massing,positive,834,477,82.09982788296041,9.143734239666703,581
circulation,negative,966,463,79.69018932874354,10.67167476800707,581
functionality,negative,956,461,79.34595524956971,10.561201944321697,581
open space,positive,728,444,76.41996557659208,7.981580966999233,581
functionality,positive,754,443,76.24784853700517,8.266637430106348,581
layout,negative,883,436,75.04302925989673,9.754750331418471,581
circulation,positive,639,402,69.19104991394148,7.0058107663633375,581
urban integration,negative,608,372,64.0275387263339,6.716747680070703,581
open space,negative,587,359,61.79001721170396,6.484754750331419,581
expression,positive,492,350,60.24096385542169,5.394145378796185,581
expression,negative,486,336,57.83132530120482,5.368979231109147,581
massing,negative,449,305,52.49569707401033,4.960229783473266,581
landscape,positive,454,303,52.151462994836486,4.977524394255016,581
flexibility,positive,374,281,48.36488812392427,4.1004275846946605,581
identity,positive,376,280,48.19277108433735,4.122355004933669,581
facade,negative,367,267,45.9552495697074,4.054352629253204,581
landscape,negative,398,263,45.26678141135972,4.3968183826778615,581
structure,positive,318,256,44.06196213425129,3.486459818002412,581
cost,negative,314,239,41.13597246127367,3.4688466637207247,581
daylight,positive,281,237,40.79173838209983,3.080802543580748,581
daylight,negative,314,236,40.61962134251291,3.4688466637207247,581
sustainability,negative,335,235,40.44750430292599,3.700839593460009,581
operation,negative,354,234,40.27538726333907,3.910737958462218,581
sustainability,positive,273,227,39.070567986230635,2.9930928626247124,581
structure,negative,285,213,36.660929432013766,3.148475475033142,581
cost,positive,219,203,34.93975903614458,2.4010525161714726,581
scale,positive,213,187,32.18588640275387,2.335270255454446,581
accessibility,negative,216,175,30.120481927710845,2.3862129916040655,581
scale,negative,215,175,30.120481927710845,2.375165709235528,581
facade,positive,191,175,30.120481927710845,2.094068632825348,581
identity,negative,208,161,27.710843373493976,2.2978347326557667,581
flexibility,negative,199,159,27.36660929432014,2.1984091913389308,581
proportion,positive,176,157,27.0223752151463,1.9296129810327816,581
visibility,positive,165,148,25.47332185886403,1.8090121697182326,581
operation,positive,172,147,25.301204819277107,1.8857581405547637,581
proportion,negative,174,143,24.612736660929432,1.9222271321254971,581
safety,negative,172,140,24.096385542168676,1.9001325673884224,581
visibility,negative,151,132,22.719449225473323,1.6681396376491384,581
topography,positive,156,126,21.686746987951807,1.7103387786426927,581
topography,negative,122,100,17.21170395869191,1.3477684489615556,581
fire safety,negative,87,75,12.908777969018933,0.9611135660627486,581
accessibility,positive,70,66,11.359724612736661,0.7674597083653109,581
privacy,negative,72,63,10.843373493975903,0.7954043305346885,581
acoustics,negative,63,56,9.63855421686747,0.6959787892178524,581
ventilation,negative,45,43,7.401032702237521,0.4971277065841803,581
safety,positive,44,42,7.228915662650603,0.4824032452581954,581
privacy,positive,37,34,5.851979345955249,0.40565727442166427,581
ventilation,positive,31,30,5.163511187607573,0.33987501370463763,581
acoustics,positive,26,24,4.130808950086059,0.28505646310711547,581
fire safety,positive,22,22,3.7865748709122204,0.2412016226290977,581
orientation,positive,9,9,1.549053356282272,0.09867339107553996,581
comfort,negative,7,7,1.2048192771084338,0.07733097657976137,581
orientation,negative,7,7,1.2048192771084338,0.07733097657976137,581
regulatory compliance,negative,5,5,0.8605851979345955,0.0552364118426867,581
phasing,negative,3,3,0.5163511187607573,0.03314184710561202,581
phasing,positive,3,3,0.5163511187607573,0.03289113035851332,581
feasibility,negative,2,2,0.3442340791738382,0.02209456473707468,581
durability,negative,1,1,0.1721170395869191,0.01104728236853734,581
materiality,negative,1,1,0.1721170395869191,0.01104728236853734,581
