tag,polarity,winner_present,winner_total,winner_prevalence_pct,other_present,other_total,other_prevalence_pct,difference_pp,difference_ci_low,difference_ci_high,odds_ratio
ventilation,negative,9,91,9.89010989010989,26,416,6.25,3.6401098901098896,-1.0783043654156477,9.110696261818283,1.6968553459119498
sustainability,negative,39,91,42.857142857142854,164,416,39.42307692307692,3.434065934065933,-5.582218027070967,12.683076458653474,1.1548704588218266
orientation,negative,3,91,3.2967032967032965,3,416,0.7211538461538461,2.5755494505494503,-0.4651433837480349,6.724016949599196,4.672316384180791
regulatory compliance,negative,1,91,1.098901098901099,4,416,0.9615384615384616,0.1373626373626374,-1.6909236059936132,2.373538545944288,1.5193370165745856
durability,negative,0,91,0.0,0,416,0.0,0.0,0.0,0.0,4.551912568306011
materiality,negative,0,91,0.0,0,416,0.0,0.0,0.0,0.0,4.551912568306011
comfort,negative,0,91,0.0,1,416,0.2403846153846154,-0.2403846153846154,-0.7595418621088479,0.0,1.5136612021857923
feasibility,negative,0,91,0.0,1,416,0.2403846153846154,-0.2403846153846154,-0.7634074622215298,0.0,1.5136612021857923
phasing,negative,0,91,0.0,3,416,0.7211538461538461,-0.7211538461538461,-1.6786570743405276,0.0,0.6455893832943014
accessibility,negative,27,91,29.67032967032967,127,416,30.528846153846153,-0.858516483516486,-11.557452675476648,10.280793655921142,0.9680802553579572
fire safety,negative,10,91,10.989010989010989,52,416,12.5,-1.5109890109890112,-7.790548338123169,4.842960484021173,0.894478527607362
acoustics,negative,8,91,8.791208791208792,45,416,10.817307692307692,-2.026098901098901,-8.265151674773257,4.833770978729361,0.8311508850431006
privacy,negative,8,91,8.791208791208792,50,416,12.01923076923077,-3.2280219780219777,-9.212033371040725,3.228880494505497,0.7387798660105531
structure,negative,29,91,31.86813186813187,148,416,35.57692307692308,-3.7087912087912125,-12.4624280162929,5.286734712793036,0.8534141414141414
visibility,negative,17,91,18.681318681318682,101,416,24.278846153846153,-5.597527472527472,-13.741599218787753,2.9280398365177542,0.730155056699838
topography,negative,11,91,12.087912087912088,76,416,18.26923076923077,-6.18131868131868,-13.05710281273309,0.6656455919720962,0.6358543417366946
safety,negative,17,91,18.681318681318682,104,416,25.0,-6.318681318681318,-15.332178671849771,2.4736352357320164,0.7024501461096304
operation,negative,30,91,32.967032967032964,167,416,40.14423076923077,-7.177197802197805,-17.452551685602533,3.281711568001902,0.7387210290013347
landscape,negative,34,91,37.362637362637365,190,416,45.67307692307692,-8.310439560439558,-17.419775461988962,1.063344612073428,0.7133858267716535
facade,negative,34,91,37.362637362637365,196,416,47.11538461538461,-9.752747252747252,-20.104461365551085,0.417892897156699,0.6732824427480916
scale,negative,16,91,17.582417582417584,130,416,31.25,-13.667582417582416,-22.428182733806203,-3.5879425568647845,0.47978990637131763
proportion,negative,12,91,13.186813186813186,115,416,27.64423076923077,-14.457417582417584,-23.000940323368216,-5.806157457565905,0.4104386179857878
identity,negative,13,91,14.285714285714286,122,416,29.326923076923077,-15.041208791208794,-23.42714240633515,-6.486991738798337,0.4134407903288704
flexibility,negative,13,91,14.285714285714286,128,416,30.76923076923077,-16.483516483516485,-24.23976777939042,-8.32476871470803,0.38610622320255766
daylight,negative,22,91,24.175824175824175,174,416,41.82692307692308,-17.6510989010989,-26.06197771990555,-9.022331215605561,0.4498979612871308
cost,negative,25,91,27.47252747252747,188,416,45.19230769230769,-17.71978021978022,-26.937823295807473,-8.233833468037561,0.46482918170758464
expression,negative,38,91,41.75824175824176,257,416,61.77884615384615,-20.020604395604398,-30.693373436907923,-9.770854675333606,0.4457490245894202
functionality,negative,57,91,62.637362637362635,346,416,83.17307692307692,-20.535714285714292,-30.704686879385676,-10.758576339393088,0.33910533910533913
circulation,negative,55,91,60.43956043956044,340,416,81.73076923076923,-21.291208791208792,-31.346681674550528,-11.566272973845809,0.3416209039888963
layout,negative,52,91,57.142857142857146,330,416,79.32692307692308,-22.184065934065934,-33.41571320709275,-11.761554272140309,0.3478618893506195
massing,negative,30,91,32.967032967032964,233,416,56.00961538461539,-23.04258241758242,-33.220509595944314,-12.364416998444556,0.38973903657666126
open space,negative,36,91,39.56043956043956,272,416,65.38461538461539,-25.82417582417583,-36.347923735027166,-15.117604263703285,0.3487395652533267
urban integration,negative,35,91,38.46153846153846,285,416,68.50961538461539,-30.048076923076923,-40.68804641152593,-19.10881925302218,0.28940067882770487
flexibility,positive,63,91,69.23076923076923,187,416,44.95192307692308,24.27884615384615,14.418286631401385,33.64690229110264,2.727157894736842
identity,positive,59,91,64.83516483516483,175,416,42.06730769230769,22.767857142857146,11.708878394860355,33.581550968016806,2.519263642340565
cost,positive,48,91,52.747252747252745,127,416,30.528846153846153,22.21840659340659,12.563687273157116,31.90330613920774,2.5315753887762003
sustainability,positive,50,91,54.94505494505494,140,416,33.65384615384615,21.291208791208792,10.638691732207944,32.666444236211674,2.3947605368091582
landscape,positive,60,91,65.93406593406593,203,416,48.79807692307692,17.13598901098901,7.709084994296262,26.14772620571389,2.015015015015015
operation,positive,35,91,38.46153846153846,93,416,22.35576923076923,16.105769230769234,6.557339090947515,25.971169870481397,2.173915101036392
functionality,positive,81,91,89.01098901098901,309,416,74.27884615384616,14.732142857142849,6.833775599400597,22.180373937598205,2.6959766135856604
urban integration,positive,89,91,97.8021978021978,347,416,83.41346153846153,14.388736263736257,9.481299155212195,19.294319650937304,7.16
daylight,positive,47,91,51.64835164835165,162,416,38.94230769230769,12.706043956043962,1.9022570996255186,23.330931973663482,1.6717372515125324
expression,positive,64,91,70.32967032967034,242,416,58.17307692307692,12.156593406593409,2.588176463947012,20.99012706043957,1.6877600749765698
open space,positive,78,91,85.71428571428571,310,416,74.51923076923077,11.195054945054938,3.5479386479641994,18.527449373509906,1.9944533905886563
scale,positive,37,91,40.65934065934066,127,416,30.528846153846153,10.130494505494504,-0.7150919197290121,21.46052460491221,1.5623313545601727
circulation,positive,70,91,76.92307692307692,284,416,68.26923076923077,8.653846153846157,-0.699892213050106,17.746718690744512,1.5271590305309193
visibility,positive,29,91,31.86813186813187,101,416,24.278846153846153,7.589285714285713,-1.4949890206406216,17.59759934468347,1.467152709359606
privacy,positive,11,91,12.087912087912088,19,416,4.5673076923076925,7.520604395604397,0.2756696927443569,15.33073059667964,2.912087912087912
ventilation,positive,10,91,10.989010989010989,15,416,3.605769230769231,7.383241758241758,1.0096227749409383,14.410580795577818,3.3372254106471404
massing,positive,80,91,87.91208791208791,335,416,80.52884615384616,7.383241758241754,-0.09976828668338976,14.477583052978677,1.700447093889717
structure,positive,46,91,50.54945054945055,182,416,43.75,6.7994505494505475,-3.8461984754628094,17.611061953557403,1.3131717597471022
topography,positive,25,91,27.47252747252747,88,416,21.153846153846153,6.318681318681321,-2.747252747252746,15.348014888337469,1.42334650184784
safety,positive,11,91,12.087912087912088,28,416,6.730769230769231,5.357142857142858,-0.8184591704752769,12.462494361981303,1.9473684210526316
proportion,positive,28,91,30.76923076923077,106,416,25.48076923076923,5.288461538461542,-4.486801413030922,15.53533254088953,1.3085283353665298
acoustics,positive,6,91,6.593406593406593,15,416,3.605769230769231,2.987637362637363,-1.1478712544286316,7.900949767201049,1.9692510847009999
layout,positive,84,91,92.3076923076923,373,416,89.66346153846153,2.644230769230771,-3.488950785402394,8.331800625117465,1.312182061579652
fire safety,positive,5,91,5.4945054945054945,14,416,3.3653846153846154,2.129120879120879,-2.0789452306060103,7.009598783634148,1.7649990033884793
facade,positive,27,91,29.67032967032967,119,416,28.60576923076923,1.0645604395604413,-9.535812235302897,11.860969420602835,1.0614316759106095
phasing,positive,1,91,1.098901098901099,2,416,0.4807692307692308,0.6181318681318682,-0.9779951100244498,3.2258283252941617,2.7480662983425415
orientation,positive,2,91,2.197802197802198,7,416,1.6826923076923077,0.5151098901098904,-2.4213075060532687,4.286776025906461,1.5251396648044693
comfort,positive,0,91,0.0,0,416,0.0,0.0,0.0,0.0,4.551912568306011
durability,positive,0,91,0.0,0,416,0.0,0.0,0.0,0.0,4.551912568306011
feasibility,positive,0,91,0.0,0,416,0.0,0.0,0.0,0.0,4.551912568306011
materiality,positive,0,91,0.0,0,416,0.0,0.0,0.0,0.0,4.551912568306011
regulatory compliance,positive,0,91,0.0,0,416,0.0,0.0,0.0,0.0,4.551912568306011
accessibility,positive,10,91,10.989010989010989,50,416,12.01923076923077,-1.0302197802197808,-7.836084951712931,6.3368717002545,0.9350057705157019
