tag,positive_share_difference_pp,negative_share_difference_pp,combined_emphasis_signal_pp,ci_low,ci_high,ranked_design_support
urban integration,0.4236832688068404,-6.574947456103018,6.998630724909859,2.6894094183805084,10.934535285143873,490
functionality,1.4274459896025466,-5.318424873854238,6.745870863456785,1.5409084998936295,12.031832973966688,485
flexibility,3.4407765425965837,-2.2325010726453014,5.673277615241885,2.3294468040334078,9.05867962414145,322
identity,2.54862429999792,-2.179048447759055,4.727672747756975,1.1694803577394102,8.177487210255263,308
circulation,-1.0123723765550956,-4.838789907501825,3.8264175309467294,-1.116408818666159,8.900513961871429,473
cost,2.199623293373297,-1.4819015348145879,3.681524828187885,0.4705878218948624,7.022937265161346,322
open space,-1.2681085131291514,-4.692486882903993,3.424378369774842,-1.4291214437767537,8.330869531928593,462
daylight,0.7421854511483681,-2.4421201700589537,3.1843056212073217,-0.2532148240738213,6.369772383665861,325
operation,1.7190508476566189,-1.2221800931179527,2.9412309407745716,-0.41994374642980964,6.1323520939106935,270
layout,-2.082154719517393,-4.669433133626935,2.587278414109542,-4.0829017962204635,8.697956709778431,495
massing,-0.41491161082510275,-2.872313520154594,2.4574019093294917,-2.6957946211539134,7.652847513768872,464
proportion,-0.1696765536051234,-2.4724841284507892,2.302807574845666,-0.17198213699688997,4.770963924401937,223
scale,0.5520259083102531,-1.3039922665035313,1.8560181748137845,-0.9589350711624826,4.702488912425887,265
expression,-0.3735279525114904,-2.2009541701012783,1.827426217589788,-2.3778197100882874,6.047531137682397,437
safety,0.8682859798931228,-0.11448866674015831,0.9827746466332812,-1.371577831402766,3.2172706026952618,151
topography,-0.09405896682682241,-0.8673544423313708,0.7732954755045485,-1.4921644218896242,2.943974461322784,175
visibility,0.7904221846529585,0.05378187618511818,0.7366403084678403,-1.7155536637936128,3.130875898122942,215
privacy,0.8100443703122278,0.13019966144966166,0.6798447088625661,-1.4831234723945885,2.7007445101195104,83
phasing,0.03548534798534798,-0.1244848901098901,0.15997023809523808,-0.0850391734363648,0.457541895128507,6
feasibility,0.0,-0.04006410256410256,0.04006410256410256,0.0,0.12626262626262627,1
comfort,0.0,-0.04006410256410256,0.04006410256410256,0.0,0.12627864943854797,1
materiality,0.0,0.0,0.0,0.0,0.0,0
durability,0.0,0.0,0.0,0.0,0.0,0
regulatory compliance,0.0,0.12174791020944868,-0.12174791020944868,-0.5784345104733455,0.14545172633407932,5
fire safety,0.0412633001918716,0.19997840224488495,-0.15871510205301334,-1.6825114554966227,1.224001589799048,78
landscape,1.4440978168656664,1.768036657487375,-0.3239388406217085,-4.731819107036534,3.8680168166235713,375
orientation,-0.019173534798534817,0.69785125588697,-0.7170247906855047,-1.7561323529846533,0.21383243981096883,15
ventilation,0.7780513137655992,1.504207718035734,-0.7261564042701348,-3.5508625530479283,1.298817101579859,55
acoustics,0.2263248236805928,1.29622049488307,-1.0698956712024772,-4.138882812833224,1.1241075285692166,69
facade,-0.9110903976975406,1.0350455976287947,-1.9461359953263353,-6.0454335985311545,1.8493981395427879,320
sustainability,1.8154473159624318,3.859942749991248,-2.044495434028816,-6.105650356119407,1.9227683595879932,295
structure,-1.120698688521489,1.8946383658193318,-3.0153370543408204,-7.042627455150423,0.8533426483977831,319
accessibility,-0.45453306614020966,3.0569545199795733,-3.511487586119783,-7.290075914145074,-0.15505989411069235,188
