tag,positive_difference_pp,negative_difference_pp,combined_winner_signal_pp,ci_low,ci_high,ranked_design_support
urban integration,14.388736263736257,-30.048076923076923,44.43681318681318,31.93358615069142,56.777825276689654,490
flexibility,24.27884615384615,-16.483516483516485,40.762362637362635,26.746347956262024,54.161824260834166,322
cost,22.21840659340659,-17.71978021978022,39.93818681318681,25.800454475645243,54.705362681673165,322
identity,22.767857142857146,-15.041208791208794,37.80906593406594,22.5657494199085,52.35982546756721,308
open space,11.195054945054938,-25.82417582417583,37.01923076923077,25.374343398536944,49.30088073691016,462
functionality,14.732142857142849,-20.535714285714292,35.26785714285714,22.566150436238416,48.28885937247844,485
expression,12.156593406593409,-20.020604395604398,32.17719780219781,17.353127421777305,46.5522929726163,437
massing,7.383241758241754,-23.04258241758242,30.425824175824175,17.00314029353663,43.94225235321524,464
daylight,12.706043956043962,-17.6510989010989,30.35714285714286,14.86712145098221,45.73618862895672,325
circulation,8.653846153846157,-21.291208791208792,29.94505494505495,17.07387740282477,43.634044609476334,473
landscape,17.13598901098901,-8.310439560439558,25.44642857142857,10.908497226144288,39.27781441360664,375
layout,2.644230769230771,-22.184065934065934,24.828296703296704,11.98535459042136,38.480578827113476,495
scale,10.130494505494504,-13.667582417582416,23.79807692307692,10.006707362609701,37.37381146466181,265
operation,16.105769230769234,-7.177197802197805,23.282967032967036,9.190149710021133,37.198898864853035,270
proportion,5.288461538461542,-14.457417582417584,19.745879120879124,6.398597845966265,32.96458168585669,223
sustainability,21.291208791208792,3.434065934065933,17.857142857142858,1.9551329475478072,34.120087590236835,295
visibility,7.589285714285713,-5.597527472527472,13.186813186813184,0.8928144305942809,26.152779989736512,215
topography,6.318681318681321,-6.18131868131868,12.5,1.025609983237101,23.683213338385748,175
safety,5.357142857142858,-6.318681318681318,11.675824175824175,0.7694436267730114,23.43343735221478,151
facade,1.0645604395604413,-9.752747252747252,10.817307692307693,-4.430490244244807,26.264059469941827,320
privacy,7.520604395604397,-3.2280219780219777,10.748626373626374,0.3560248468785059,21.52921105788702,83
structure,6.7994505494505475,-3.7087912087912125,10.508241758241759,-3.7226734070171084,25.304728328596546,319
acoustics,2.987637362637363,-2.026098901098901,5.013736263736265,-3.517512830177738,13.797448675355653,69
ventilation,7.383241758241758,3.6401098901098896,3.7431318681318686,-5.236762438487338,12.619665280955603,55
fire safety,2.129120879120879,-1.5109890109890112,3.6401098901098905,-3.856979095465938,11.38156768628978,78
phasing,0.6181318681318682,-0.7211538461538461,1.3392857142857144,-0.49385771910524395,4.064260967470507,6
feasibility,0.0,-0.2403846153846154,0.2403846153846154,0.0,0.76340746222153,1
comfort,0.0,-0.2403846153846154,0.2403846153846154,0.0,0.759541862108848,1
materiality,0.0,0.0,0.0,0.0,0.0,0
durability,0.0,0.0,0.0,0.0,0.0,0
regulatory compliance,0.0,0.1373626373626374,-0.1373626373626374,-2.3735385459442857,1.6909236059936137,5
accessibility,-1.0302197802197808,-0.858516483516486,-0.17170329670329476,-13.964884097551378,13.0579244856072,188
orientation,0.5151098901098904,2.5755494505494503,-2.06043956043956,-7.227394268457517,3.056347435459278,15
